rank,tier,archive_entry,date,type,title,surviving_sources,source_status,full_recording_exists,archive_has_only_fragment,historical_value,loss_risk,recommended_action
50,A1,2015-11-17-live-01,2015-11-17,live,直播标题已遗失,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
51,A1,2015-11-18-live-01,2015-11-18,live,距离搬家结束还有十二小时,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
52,A1,2015-11-30-live-01,2015-11-30,live,聊一个小时睡觉,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
53,A1,2015-12-03-live-01,2015-12-03,live,3ds节奏天国,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
54,A1,2015-12-04-live-01,2015-12-04,live,节奏天国,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
55,A1,2015-12-06-live-01,2015-12-06,live,今天会早点下,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
56,A1,2015-12-08-live-01,2015-12-08,live,节奏天国,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
57,A1,2015-12-11-live-01,2015-12-11,live,女流发姐逛故宫,v.youku.com/v_show/id_XMTQxMDA0ODQ1Ng==.html（reupload/dead）,来源全部失效,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
58,A1,2015-12-15-live-01,2015-12-15,live,路易鬼屋是个好游戏,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
59,A1,2015-12-17-live-01,2015-12-17,live,今天下午4点播,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
60,A1,2015-12-23-live-01,2015-12-23,live,任天堂3ds路易鬼屋,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
61,A1,2015-12-25-live-01,2015-12-25,live,圣诞节直播（模仿各主播）,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
62,A1,2015-12-29-live-01,2015-12-29,live,直播标题已遗失,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
63,A2,2010-05-08-video-01,2010-05-08,video,【女流】小型单机游戏之迷画之塔,v.youku.com/v_show/id_XMTcxMzcyMjAw.html（original/dead）；bilibili.com/video/BV1rW411y7cc（clip/alive）,只有片段,否,是,她最早的原创视频（2010～2014 优酷时代）,高,只有片段：完整录像只可能在失效网盘或私人存档，列入征集
64,A2,2010-05-09-video-01,2010-05-09,video,【女流】迷你单机游戏之 阿扎达经典系列第二部,v.youku.com/v_show/id_XMTcxNjU2Mzk2.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
65,A2,2010-05-10-video-02,2010-05-10,video,【女流】小游戏也可以很暴力。。。第二弹,v.youku.com/v_show/id_XMTcxOTM5NzEy.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
66,A2,2010-05-11-video-01,2010-05-11,video,【星探】系列1攻略视频,v.youku.com/v_show/id_XMTcyMTI2MDU2.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
67,A2,2010-05-11-video-02,2010-05-11,video,【星探】系列2攻略视频,v.youku.com/v_show/id_XMTcyMTU5NzYw.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
68,A2,2010-05-11-video-03,2010-05-11,video,【星探】系列5攻略视频,v.youku.com/v_show/id_XMTcyMTY2MTky.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
69,A2,2010-05-12-video-01,2010-05-12,video,【星探】系列3攻略视频,v.youku.com/v_show/id_XMTcyMzA2NTY4.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
70,A2,2010-05-12-video-02,2010-05-12,video,【星探】系列4攻略视频,v.youku.com/v_show/id_XMTcyMzIzNDQ0.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
71,A2,2010-05-12-video-03,2010-05-12,video,解谜类【Full Pipe】又名管道冒险通关攻略讲解Part 1,v.youku.com/v_show/id_XMTcyMzgyODk2.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
72,A2,2010-05-12-video-04,2010-05-12,video,解谜类【Full Pipe】（又名管道冒险）通关攻略讲解Part2,v.youku.com/v_show/id_XMTcyNDEyNzky.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
73,A2,2010-05-12-video-05,2010-05-12,video,解密类【Full Pipe】又名管道冒险通关攻略Part 3,v.youku.com/v_show/id_XMTcyNDQ2ODE2.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
74,A2,2010-05-12-video-06,2010-05-12,video,解谜类【Full Pipe】又名管道冒险通关攻略视频Part4,v.youku.com/v_show/id_XMTcyNDYzMzY4.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
75,A2,2010-05-13-video-01,2010-05-13,video,【女流】Music in Motion ，音乐害死人呀。。,v.youku.com/v_show/id_XMTcyNjIxNDMy.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
76,A2,2010-05-13-video-02,2010-05-13,video,【女流】只有一关的过关游戏，This is The Only Level 攻略,v.youku.com/v_show/id_XMTcyNjc3NTEy.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
77,A2,2010-05-14-video-01,2010-05-14,video,【女流】还是只有这一关，This is the only level too 攻略,v.youku.com/v_show/id_XMTcyODY3MDQw.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
78,A2,2010-05-16-video-01,2010-05-16,video,【女流】动作类游戏女流也可以通关，奇迹,v.youku.com/v_show/id_XMTczMzM2NTYw.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
79,A2,2010-05-18-video-01,2010-05-18,video,【女流】十大雷人小游戏排行榜,v.youku.com/v_show/id_XMTc0MDYwMjY4.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
80,A2,2010-05-29-video-01,2010-05-29,video,【女流】有只鸡，叫舞优,v.youku.com/v_show/id_XMTc2Nzk5NzQ4.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
81,A2,2010-06-01-video-01,2010-06-01,video,认认真真解说小游戏【测试类日本篇】,v.youku.com/v_show/id_XMTc3ODY4OTAw.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
82,A2,2010-06-05-video-01,2010-06-05,video,【女流】超级玛丽在小游戏界的各种遭遇,v.youku.com/v_show/id_XMTc5MDY3MzI4.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
83,A2,2010-06-09-video-01,2010-06-09,video,《安琪拉之歌》全剧情流程解说Part 1,v.youku.com/v_show/id_XMTgwMjA1Nzg0.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
84,A2,2010-06-13-video-01,2010-06-13,video,群星璀璨，怒骂怒骂,v.youku.com/v_show/id_XMTgxMjgyODcy.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
85,A2,2010-06-16-video-01,2010-06-16,video,《安琪拉之歌》全剧情流程解说Part 2（Boss2Boss3）,v.youku.com/v_show/id_XMTgyMDcxMzU2.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
86,A2,2010-06-21-video-01,2010-06-21,video,女流忠告！心脏不好的千万别看。。。。,v.youku.com/v_show/id_XMTgzMzQ5MTcy.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
87,A2,2010-06-27-video-02,2010-06-27,video,应景世界杯----足球小游戏三部曲,v.youku.com/v_show/id_XMTg0OTYwMzYw.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
88,A2,2010-06-27-video-01,2010-06-27,video,欢乐呀欢乐！欧洲超人气在线合作小游戏试玩解说,v.youku.com/v_show/id_XMTg1MTAwMjI0.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
89,A2,2010-06-29-video-01,2010-06-29,video,【女流】囧死人的破游戏---向无数以分享乐趣为动力的小游戏制作者致敬,v.youku.com/v_show/id_XMTg1MzkwMzc2.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
90,A2,2010-06-30-video-01,2010-06-30,video,【女流】变态人生大冒险,v.youku.com/v_show/id_XMTg1ODIxMjM2.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
91,A2,2010-07-03-video-01,2010-07-03,video,【女流】想知道他的长相吗？来输入名字吧！,v.youku.com/v_show/id_XMTg2NjU5NzEy.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
92,A2,2010-07-07-video-01,2010-07-07,video,【女流】国内多人在线小游戏----我画你猜,v.youku.com/v_show/id_XMTg3NzIzNTc2.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
93,A2,2010-07-09-video-01,2010-07-09,video,是时候发泄怨念了,v.youku.com/v_show/id_XMTg4MzczNDAw.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
94,A2,2010-07-11-video-01,2010-07-11,video,GBA晚期神作之一【节奏天国A版】试玩解说,v.youku.com/v_show/id_XMTg4ODQxMzcy.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
95,A2,2010-07-15-video-01,2010-07-15,video,【女流】心灵故事【灵魂魔术师】（又名独自为伴） 解说,v.youku.com/v_show/id_XMTg5OTYwNTE2.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
96,A2,2010-07-22-video-01,2010-07-22,video,【经典回顾】小婴儿逃脱系列2解说,v.youku.com/v_show/id_XMTkxNjU0NDMy.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
97,A2,2010-07-24-video-01,2010-07-24,video,女流小游戏视频录制教学,v.youku.com/v_show/id_XMTkyMTkyNDE2.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
98,A2,2010-07-29-video-01,2010-07-29,video,【女流】真伪笑容大判断,v.youku.com/v_show/id_XMTkzNTk2OTM2.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
